City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,asekeyevo,100,RU,1616122595,95,53.5742,52.7972,-2.53,3.59
83,yabrud,87,SY,1616122596,78,33.9674,36.6574,3.89,0.45
84,mpongwe,84,ZM,1616122596,97,-13.5091,28.155,16.57,1.19
85,nanortalik,96,GL,1616122390,73,60.1432,-45.2371,-3.5,1.22
86,bandarbeyla,68,SO,1616122390,77,9.4942,50.8122,24.62,3.13
87,mozarlandia,100,BR,1616122597,93,-14.7447,-50.5706,22.08,1.82
88,riyadh,0,SA,1616122402,38,24.6877,46.7219,23.0,5.14
89,fasa,0,IR,1616122597,43,28.9383,53.6482,12.0,1.12
90,georgetown,20,MY,1616122167,48,5.4112,100.3354,31.0,2.06
91,constitucion,0,CL,1616122429,85,-35.3333,-72.4167,11.33,1.38
92,bambous virieux,20,MU,1616122439,94,-20.3428,57.7575,24.44,1.54
93,castro,46,BR,1616122378,98,-24.7911,-50.0119,17.14,3.75
94,belyy yar,31,RU,1616122385,85,53.6039,91.3903,-12.0,1.0
95,maracacume,100,BR,1616122598,97,-2.0428,-45.9592,22.31,0.73
96,esfarayen,20,IR,1616122599,66,37.0765,57.5101,11.0,4.12
97,bereda,100,ES,1616122599,87,43.2686,-7.5406,6.11,2.24
98,margate,92,GB,1616122472,82,51.3813,1.3862,8.33,3.13
99,hofn,0,IS,1616122497,90,64.2539,-15.2082,7.41,7.02
100,limoux,90,FR,1616122600,75,42.9167,2.1667,6.11,5.66
101,mindelo,20,CV,1616122600,77,16.8901,-24.9804,20.0,8.75
102,nicoya,0,CR,1616122600,58,10.1483,-85.452,29.0,1.54
103,bengkulu,100,ID,1616122240,86,-3.8004,102.2655,24.52,1.68
104,trelew,96,AR,1616122602,31,-43.249,-65.3051,20.31,8.12
105,cumberland,90,US,1616122602,77,35.0502,-78.8664,19.44,4.12
106,santa maria,20,BR,1616122432,100,-29.6842,-53.8069,16.0,0.51
107,pisco,0,PE,1616122380,78,-13.7,-76.2167,21.0,5.14
108,lebu,3,CL,1616122407,88,-37.6167,-73.65,11.76,1.58
109,kudahuvadhoo,21,MV,1616122603,72,2.6708,72.8944,27.92,3.06
110,grindavik,90,IS,1616122451,100,63.8424,-22.4338,7.0,10.29
111,giyani,20,ZA,1616122605,84,-23.3025,30.7187,20.84,2.31
112,dumjor,40,IN,1616122605,57,22.6408,88.2203,27.0,2.65
113,mabama,20,TZ,1616122606,88,-5.1333,32.5333,19.0,1.41
114,dudinka,100,RU,1616122372,92,69.4058,86.1778,-28.22,2.26
115,vila velha,20,BR,1616122420,88,-20.3297,-40.2925,24.0,2.06
116,sao joao da barra,70,BR,1616122607,86,-21.6403,-41.0511,24.71,7.34
117,codrington,0,AU,1616122389,56,-38.2667,141.9667,23.46,4.16
118,korla,91,CN,1616122388,86,41.7597,86.1469,0.91,1.97
119,paamiut,95,GL,1616122378,67,61.994,-49.6678,-6.01,7.42
120,veraval,0,IN,1616122415,75,20.9,70.3667,24.59,4.67
121,bosaso,8,SO,1616122608,73,11.2842,49.1816,23.34,3.21
122,tikrit,0,IQ,1616122608,46,34.6071,43.6782,12.41,0.81
123,mana,65,GF,1616122609,81,5.6592,-53.7767,23.89,3.06
124,coquimbo,0,CL,1616122501,77,-29.9533,-71.3436,15.0,1.03
125,strezhevoy,0,RU,1616122609,64,60.7333,77.5889,-2.0,4.0
126,tabory,100,RU,1616122610,92,58.5198,64.5495,-6.78,3.07
127,east london,0,ZA,1616122377,87,-33.0153,27.9116,21.29,3.38
128,amapa,100,BR,1616122610,94,1.0,-52.0,21.72,1.52
129,nguru,44,NG,1616122610,15,12.8791,10.4526,25.99,2.84
130,bhandara,75,IN,1616122610,68,21.1667,79.65,22.0,1.85
